所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/登录(#6),验证不输用户名时登录情况,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin//

管理员账号admin
密码admin123
","1.(已知账户名admin),用户名为空,
输入密码admin123
输入正确的验证码
点击登录
2.关闭弹出窗口
3.重新输入正确的用户名admin
输入密码admin123
输入正确验证码
点击登录","1.登录失败--弹出窗口提示”登录失败,请重新登录”

3.登录成功--主界面显示六个功能模块",,3,功能测试,系统测试阶段
/登录(#6),验证输入用户名错误时登录情况,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin//

管理员账号admin
密码admin123
","1.(已知账户名admin),输入错误用户名xxx
输入密码admin123
输入正确的验证码
点击登录
2.关闭弹出窗口
3.重新输入正确的用户名admin
输入密码admin123
输入正确验证码
点击登录","1.弹出窗口提示”登录失败,请重新登录”
3.登录成功--主界面显示六个功能模块",,3,功能测试,系统测试阶段
/登录(#6),验证密码是否区分大小写,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin//

管理员账号admin
密码admin123
","1.(已知账户名admin),输入用户名admin,输入密码大写ADMIN123
输入正确的验证码
点击登录
2.关闭弹出窗口
3.重新输入正确的用户名admin
输入密码admin123
输入正确验证码
点击登录","1.登录失败--弹出窗口提示”登录失败,请重新登录”
3.登录成功--主界面显示六个功能模块",,3,功能测试,系统测试阶段
/登录(#6),验证输入密码为空时登录情况,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin//

管理员账号admin
密码admin123
","1.(已知账户admin),输入用户名admin,
输入密码为空
输入正确的验证码
点击登录
2.关闭弹出窗口
3.重新输入正确的用户名admin
输入密码admin123
输入正确验证码
点击登录","1.登录失败--弹出窗口提示”登录失败,请重新登录”
3.登录成功--主界面显示六个功能模块",,3,功能测试,系统测试阶段
/登录(#6),验证输入密码错误时登录情况,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin//

管理员账号admin
密码admin123
","1.(已知账户名admin),输入用户名admin,输入密码错误XXXX
输入正确的验证码
点击登录
2.关闭弹出窗口
3.重新输入正确的用户名admin
输入密码admin123
输入正确验证码
点击登录","1.登录失败--弹出窗口提示”登录失败,请重新登录”
3.登录成功--主界面显示六个功能模块",,3,功能测试,系统测试阶段
/登录(#6),"检查输入验证码错误后,验证码是否自动刷新","打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin//

管理员账号admin
密码admin123
","1.(已知账户名admin),输入用户名admin,输入密码admin123
输入错误验证码A
点击登录
2.关闭弹出窗口","1.弹出窗口提示”验证码错误,请重新输入”
2.此时页面图形验证码自动刷新",,3,功能测试,系统测试阶段
/登录(#6),检查输入验证码错误时登录情况,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin//

管理员账号admin
密码admin123
","1.(已知账户名admin),输入用户名admin,输入密码admin123
输入错误验证码A
点击登录
2.关闭弹出窗口
3.输入正确验证码
点击登录","1.弹出窗口提示”验证码错误,请重新输入”
3.登录成功--主界面显示六个功能模块",,3,功能测试,系统测试阶段
/登录(#6),检查输入验证码为空时登录情况,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin//

管理员账号admin
密码admin123
","1.(已知账户名admin),输入用户名admin,输入密码admin123
输入验证码为空
点击登录
2.关闭弹出窗口
3.输入正确验证码
点击登录","1.弹出窗口提示”验证码错误,请重新输入”
3.登录成功--主界面显示六个功能模块",,3,功能测试,系统测试阶段
/登录(#6),检查验证码是否区分大小写1,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin//

管理员账号admin
密码admin123
","1.(已知账户名admin),输入用户名admin,输入密码admin123
输入验证码aq12(若图片验证码为AQ12)
点击登录
","1.登录成功--主界面显示六个功能模块
",,3,功能测试,系统测试阶段
/登录(#6),检查验证码是否区分大小写2,"打开浏览器Chrome,输入网址http://localhost:8080/WoniuSales-20171128-V1.3-bin//

管理员账号admin
密码admin123
","1.(已知账户名admin),输入用户名admin,输入密码admin123
输入验证码Aq12(若图片验证码为AQ12)
点击登录
","1.登录成功--主界面显示六个功能模块
",,3,功能测试,系统测试阶段
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
